EASTING,NORTHING,id,elevation,CLAY_0_15,CLAY_15_40,SAND_0_15,SAND_15_40,SILT_0_15,SILT_15_40
649968.903,4347621.602,1.1,94.52,43.68,48.94,32.68,22.65,23.64,28.41
649976.871,4347617.587,1.2,94.98,44.55,47.41,32.85,25.20,22.60,27.39
649986.831,4347615.580,1.3,95.41,44.95,44.35,34.91,28.95,20.14,26.71
649996.792,4347611.565,1.4,95.75,42.80,43.76,38.25,27.74,18.94,28.50
650006.752,4347607.550,1.5,96.23,41.29,42.76,35.91,29.90,22.80,27.34
650016.712,4347603.535,1.6,96.71,40.42,42.04,34.43,31.11,25.16,26.85
649976.871,4347639.670,2.1,96.23,46.37,46.84,27.15,25.96,26.49,27.20
649984.839,4347635.655,2.2,96.82,47.98,45.77,28.30,26.74,23.72,27.50
649994.800,4347631.640,2.3,97.62,47.76,44.99,31.28,25.55,20.96,29.46
650004.760,4347629.632,2.4,97.91,46.29,43.98,32.84,27.11,20.88,28.91
650014.720,4347625.617,2.5,98.51,46.79,43.86,30.39,27.78,22.82,28.36
650024.680,4347621.602,2.6,98.89,43.83,42.76,32.96,27.86,23.21,29.38
649984.839,4347657.737,3.1,99.09,43.95,47.15,26.84,22.66,29.21,30.20
649992.808,4347653.722,3.2,99.53,45.87,46.69,28.67,22.64,25.46,30.66
650002.768,4347649.707,3.3,100.11,47.58,45.70,33.20,25.32,19.22,28.99
650012.728,4347647.699,3.4,101.12,46.29,46.25,34.61,26.93,19.10,26.82
650022.688,4347643.685,3.5,102.06,48.20,48.90,27.79,22.24,24.01,28.86
650032.649,4347639.670,3.6,102.58,46.36,48.00,26.90,23.33,26.73,28.67
649992.808,4347675.804,4.1,102.07,44.99,45.16,28.38,25.72,26.63,29.12
650000.776,4347671.789,4.2,103.33,44.50,42.77,31.14,28.54,24.36,28.70
650010.736,4347667.774,4.3,103.73,44.50,43.37,32.25,28.99,23.25,27.65
650018.704,4347663.759,4.4,104.77,48.05,50.94,27.65,22.22,24.30,26.85
650030.656,4347661.752,4.5,105.24,48.86,48.81,27.87,24.07,23.28,27.12
650038.625,4347657.737,4.6,105.20,43.70,43.30,31.10,29.58,25.20,27.12
650000.776,4347693.871,5.1,104.81,46.05,42.99,27.85,29.45,26.10,27.56
650008.744,4347689.856,5.2,105.64,45.71,43.29,28.84,27.94,25.45,28.77
650016.712,4347685.841,5.3,106.78,46.33,47.49,27.90,23.09,25.77,29.43
650026.672,4347681.826,5.4,107.27,47.74,52.77,26.82,18.44,25.43,28.80
650036.633,4347679.819,5.5,107.67,45.58,47.81,30.56,22.91,23.86,29.28
650046.593,4347675.804,5.6,107.81,42.19,41.11,35.61,31.22,22.21,27.67
650006.752,4347709.931,6.1,107.04,45.75,41.37,26.55,32.42,27.70,26.21
650016.712,4347707.924,6.2,107.79,46.43,42.86,26.36,29.02,27.21,28.13
650024.680,4347703.909,6.3,108.89,45.39,46.71,29.66,23.08,24.95,30.21
650034.641,4347699.894,6.4,109.71,42.79,45.76,33.53,25.54,23.69,28.70
650044.601,4347697.886,6.5,109.64,40.93,43.54,34.59,27.80,24.48,28.67
650054.561,4347693.871,6.6,109.87,42.43,45.00,33.36,24.67,24.21,30.33
650014.720,4347727.998,7.1,108.57,42.05,41.90,31.54,32.01,26.41,26.09
650022.688,4347725.991,7.2,109.52,41.90,40.80,33.23,32.83,24.86,26.37
650032.649,4347721.976,7.3,110.51,42.61,40.86,35.87,33.20,21.52,25.94
650042.609,4347717.961,7.4,111.50,42.30,42.04,36.53,32.17,21.18,25.80
650052.569,4347715.953,7.5,111.93,41.27,40.15,34.52,31.55,24.21,28.30
650062.529,4347711.939,7.6,111.67,39.03,41.75,37.48,28.95,23.49,29.30
650022.688,4347746.065,8.1,109.64,43.40,43.36,31.63,28.31,24.97,28.34
650030.656,4347744.058,8.2,110.81,42.89,40.20,33.64,32.27,23.47,27.54
650040.617,4347740.043,8.3,112.27,41.75,35.90,36.79,38.83,21.46,25.26
650050.577,4347736.028,8.4,112.92,41.92,38.47,37.73,35.38,20.35,26.15
650060.537,4347734.021,8.5,113.28,38.10,35.78,41.37,36.18,20.53,28.04
650070.498,4347730.006,8.6,113.07,36.44,36.42,40.74,35.07,22.82,28.50
